price_date,brand,category,description,currency,page,0km,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
,AGRINAR,Tractores,150 4 s/3P 149cv c/cabina,u$s,4,,,,,,,,,65000.0,62500.0,60000.0,58000.0,56000.0,53500.0,51000.0,49000.0
,AGRINAR,Tractores,150 4 c/3P 149cv c/cabina,u$s,4,,,,,,,,,68000.0,65500.0,63000.0,60000.0,57000.0,55000.0,53000.0,50800.0
,AGRINAR,Tractores,150 4 c/3P 149cv c/cabina y duales,u$s,4,,,,,,,,,73500.0,70500.0,67500.0,65300.0,63000.0,60800.0,58500.0,56300.0
,AGRINAR,Tractores,170 4 s/3P 172cv c/cabina,u$s,4,,,,,,,,,68500.0,65800.0,63000.0,60500.0,58000.0,56000.0,54000.0,52000.0
,AGRINAR,Tractores,170 4 c/3P 172cv c/cabina,u$s,4,,,,,,,,,71500.0,68800.0,66000.0,64000.0,62000.0,59500.0,57000.0,55000.0
,AGRINAR,Tractores,170 4 c/3P 172cv c/cabina y duales,u$s,4,,,,,,,,,79000.0,76000.0,73000.0,70000.0,67000.0,64500.0,62000.0,59500.0
,AGRINAR,Tractores,190 4 s/3P 191cv c/cabina y aire,u$s,4,,,,,,,,,89000.0,83500.0,78000.0,75000.0,72000.0,69500.0,67000.0,64500.0
,AGRINAR,Tractores,190 4 c/3P 191cv c/cabina y aire,u$s,4,,,,,,,,,88000.0,85000.0,82000.0,78000.0,74000.0,71500.0,69000.0,66500.0
,AGRINAR,Cosechadoras,AXIAL 3000 Full 330HP Trans. Hidrostática,u$s,4,,,,,,,,,265000.0,252500.0,240000.0,232500.0,225000.0,,,
,AGRINAR,Cosechadoras,2140 12S 260HP Trans. Hidrostática,u$s,4,,,,,,,,,175000.0,167500.0,160000.0,154000.0,148000.0,,,
,AGRINAR,Cosechadoras,2121 180HP Trans. Mecánica,u$s,4,,,,,,,,,120000.0,115000.0,110000.0,105000.0,100000.0,,,
,AGRINAR,Cosechadoras,2121 Motor Deutz 190HP Trans. Mecánica,u$s,4,,,,,,,,,125000.0,120000.0,115000.0,107500.0,100000.0,,,
,AGRINAR,Cosechadoras,2121 Motor Deutz 190HP Trans. Hidrostática,u$s,4,,,,,,,,,135000.0,127500.0,120000.0,117500.0,115000.0,,,
